Game,Câu hỏi,Đáp án
Rise of Kingdoms,Loại nước giải khát nào được phát minh bởi dược sĩ người Mỹ John Pemberton?,Cô-ca Cô-la
Rise of Kingdoms,Người chỉ huy nào sau đây giỏi thu thập tài nguyên?,Cleopatra VII
Rise of Kingdoms,Một quần thể càng có nhiều biến dị di truyền thì khả năng một số cá thể sẽ như thế nào?,Sống sót
Rise of Kingdoms,Chỉ huy nào xuất sắc dẫn đầu bộ binh?,Richard tôi
Rise of Kingdoms,Kẻ nào sau đây là kẻ thù của Richard the Lionheart?,Saladin
Rise of Kingdoms,"Trong thần thoại Hy Lạp, anh hùng nào đã tìm kiếm bộ lông cừu vàng?",Jason
Rise of Kingdoms,Chuyển thể đến từ đâu?,Cả đột biến và tái tổ hợp gen.
Rise of Kingdoms,Thành Cát Tư Hãn bắt đầu xây dựng Đế chế Mông Cổ của mình từ đâu?,Châu Á
Rise of Kingdoms,Ai là người sáng lập ra Đế chế Mông Cổ?,Thành Cát Tư Hãn
Rise of Kingdoms,Tên của hiện tượng mà các sinh vật thích nghi tốt hơn với môi trường sống sót để truyền các tính trạng cho con cái của chúng là gì?,Chọn lọc tự nhiên
Rise of Kingdoms,Chỉ huy nào sau đây là một phần của cuộc chiến tranh trăm năm?,Joan of Arc
Rise of Kingdoms,Chỉ huy nào được đặt biệt danh là bãi cỏ chết chóc?,Sarka
Rise of Kingdoms,Khám phá nào khiến việc giải mã chữ tượng hình trở nên khả thi?,Đá Rosetta.
Rise of Kingdoms,"Kính đeo mắt được làm bằng thạch anh, cát, và chất gì?",Dầu mỏ
Rise of Kingdoms,"Khi Achilles từ chối chiến đấu, Patroclus mặc áo giáp cho Achilles, chiến đấu với lũ trojan và chết, Patroclus bị ai giết?",Hector
Rise of Kingdoms,"Trong Ark of Osiris, tốc độ nào có thể được sử dụng?",Tăng tốc độ chữa bệnh
Rise of Kingdoms,Đế chế Mughal mang Hồi giáo đến đâu?,Hầu hết Ấn Độ
Rise of Kingdoms,Pháp và Đức đều từng thuộc Vương quốc phong kiến ​​nào?,Francia
Rise of Kingdoms,"Trong lịch sử Nga, biệt danh nào mà Tzar đầu tiên được đặt cho chế độ chuyên chế của họ?",Ivan Bạo chúa
Rise of Kingdoms,Vật nào sau đây được coi là tài nguyên kim loại?,Bàn là
Rise of Kingdoms,Chỉ huy nào được gọi là Kẻ chinh phục hỗn loạn?,Cao Cao
Rise of Kingdoms,Bộ luật Babylon nào là bộ luật thành văn đầy đủ đầu tiên trong lịch sử được ghi chép lại?,Bộ luật Hammurabi
Rise of Kingdoms,"Người châu Âu nào đã viết tạp chí du lịch đầu tiên trình bày chi tiết về lịch sử, văn hóa và nghệ thuật của Trung Quốc?",Marco Polo
Rise of Kingdoms,"Định dạng hài phác thảo xuyên âm của Trung Quốc bắt nguồn từ ba nơi: Thiên Kiều ở Bắc Kinh, Chợ Lượng Tử ở Thiên Tân và nơi nào ở Nam Kinh?",Fuzimiao
Rise of Kingdoms,Homer 'The Iliad' tập trung vào các sự kiện xảy ra trong cuộc chiến hay trận chiến nào?,Cuộc chiến trojan
Rise of Kingdoms,Điều nào sau đây không phải là một phần của quốc kỳ Mexico.?,Lạc đà
Rise of Kingdoms,Chỉ huy nào được gọi là Celtic Rose?,Boudica
Rise of Kingdoms,Loại thiên tai nào được đo bằng thang độ Richter?,Động đất
Rise of Kingdoms,Truyện tranh nào được sách kỷ lục Guinness thế giới công nhận là truyện tranh có số lượng phát hành tích lũy lớn nhất so với truyện tranh của một tác giả?,Eiichiro Oda / One Piece
Rise of Kingdoms,"Ở Hy Lạp cổ đại, nhà triết học nào thích thảo luận về các ý tưởng trên một con phố mà sau đó có biệt danh là Trường học Peripatetic?",Aristotle
Rise of Kingdoms,Thí nghiệm Tháp nghiêng Pisa của Galileo đã lật ngược lý thuyết của các nhà khoa học Hy Lạp cổ đại nào?,Aristotle
Rise of Kingdoms,Vị chỉ huy nào đã thể hiện thiên tài quân sự của họ trong trận chiến Poitiers vào thế kỷ 8 sau Công nguyên?,Charles Martel
Rise of Kingdoms,Người chỉ huy nào đã thể hiện thiên tài quân sự của họ trong trận Tours vào thế kỷ thứ 8 sau Công nguyên?,Charles Martel
Rise of Kingdoms,Những người lính của La Mã cổ đại lấy vũ khí và áo giáp của họ ở đâu?,Chúng tôi
Rise of Kingdoms,Ai đã viết Art of War?,Binh pháp Tôn Tử
Rise of Kingdoms,Loại nào sau đây được coi là quốc hoa của Philippines?,Sampaguita
Rise of Kingdoms,Tên của điện được sản xuất bằng nước sử dụng các đập lớn trên sông là gì?,Năng lượng thủy điện
Rise of Kingdoms,"Cuốn tự truyện ""Sống để kể chuyện"" đã đoạt giải Nobel Văn học của ai?",Gabriel García Márquez
Rise of Kingdoms,Biện pháp chính thức nào khiến việc cho Martin Luther thức ăn hoặc chỗ ở trở thành tội phạm?,Sắc lệnh của Worms
Rise of Kingdoms,Thành phố nào sau đây đăng cai Thế vận hội năm 1900?,Paris
Rise of Kingdoms,Taj Mahal được xây dựng vào triều đại nào của Ấn Độ?,Vương triều Mughal
Rise of Kingdoms,Vị hoàng đế nào đã ban hành Tuyên ngôn thành Milan?,Constantine I
Rise of Kingdoms,"Thành tích nào sau đây phải hoàn thành trước thành tích ""Bông tuyết đặc biệt""?",Tấn công tầm xa
Rise of Kingdoms,Chỉ huy Lancelot giỏi cái gì?,Các đơn vị kỵ binh hàng đầu
Rise of Kingdoms,Commander Baybars giỏi cái gì?,Các đơn vị kỵ binh hàng đầu
Rise of Kingdoms,Chỉ huy Hermann giỏi cái gì?,Cung thủ hàng đầu
Rise of Kingdoms,Chỉ huy Osman tôi giỏi cái gì?,Tấn công các thành phố
Rise of Kingdoms,Có thể nhận được buff nào khi chiếm Sanctum of Courage?,Tăng EXP nhận được bởi các chỉ huy
Rise of Kingdoms,Chỉ huy Hannibal Barca giỏi điều gì?,Tấn công các thành phố
Rise of Kingdoms,Ai đã chiến thắng trong cuộc chiến thành Troy?,Người Hy Lạp
Rise of Kingdoms,Đế chế cũ hiện nay trên đất nước Châu Á,Iran
Rise of Kingdoms,Chỉ huy Eulji Mundeok giỏi cái gì?,Đơn vị bộ binh dẫn đầu
Rise of Kingdoms,"Trong Chiến tranh Punic lần thứ hai, trong trận chiến nào mà quân đội La Mã đông hơn rất nhiều người Hannibal đã đánh bại?",Trận chiến của Cannae
Rise of Kingdoms,"Một ""ngày"" trên hành tinh Sao Kim xấp xỉ bằng bao nhiêu ngày trên trái đất?",243 ngày
Rise of Kingdoms,Khí nào sau đây KHÔNG phải là một trong những khí nhà kính chính trong khí quyển trái đất?,Nitơ
Rise of Kingdoms,"Một cách sử dụng khác của gin, ngoài việc là một thức uống phổ biến, vào thế kỷ 18 là gì?",Thuốc
Rise of Kingdoms,"Khi đánh bắt và thả cá biển sâu, tại sao phải chọc thủng bàng bơi của chúng?",Để ngăn chúng chết vì những chiếc phao bơi căng phồng
Rise of Kingdoms,Yếu tố nào sau đây cho phép một số loại đồ uống hỗn hợp nhất định được xếp lớp?,Tỉ trọng
Rise of Kingdoms,Khủng long đầu tiên tồn tại khi nào?,Trias
Rise of Kingdoms,Binh pháp Tôn Tử giỏi cái gì?,Các đơn vị đồn trú hàng đầu của thành phố.
Rise of Kingdoms,Không khí thường trong lành hơn sau cơn giông vì nó đã được làm giàu bằng loại khí nào?,Khí quyển
Rise of Kingdoms,"Asoka vĩ đại, là vua của vương quốc Ấn Độ cổ đại",Maurya
Rise of Kingdoms,Ai đã nghĩ ra ý tưởng về Con ngựa thành Troy? Ai đã chiến thắng trong cuộc chiến thành Troy?,Odysseus; Người Hy Lạp
Rise of Kingdoms,Keira đã từng bất chấp sự kỳ vọng của thế giới về mình trong một trận chiến vinh quang. Trận chiến này diễn ra ở đâu?,Hooàng hôn
Rise of Kingdoms,Đền Trời của Trung Quốc được xây dựng dưới triều đại của vị hoàng đế nào?,Hoàng đế Yongle (Zhu Di)
Rise of Kingdoms,Kỹ năng nào sau đây KHÔNG phải là một trong những kỹ năng của Keira?,Máu ngỗ ngược
Rise of Kingdoms,Danh hiệu 'Nữ hoàng' của vương quốc tăng theo thứ tự nào sau đây?,Tốc độ thu thập
Rise of Kingdoms,Ai là người đầu tiên trong số những người con của Henry VIII trị vì nước Anh?,Edward VI
Rise of Kingdoms,Henry I lên ngôi Englnd vào năm 1100 sau khi người họ hàng nào qua đời?,Anh trai của anh ấy
Rise of Kingdoms,Điều gì gây ra mùi đặc biệt trong không khí sau khi trời mưa?,Ảnh hưởng của xạ khuẩn
Rise of Kingdoms,"Trong số các quốc gia sau, quốc gia nào có diện tích nhỏ nhất?",Thành phố Vatican
Rise of Kingdoms,Bộ phận khó nhất trên cơ thể con người là gì?,Men răng
Rise of Kingdoms,Nhân vật lịch sử nào được chôn trong Đền khắc ở Palenque?,Pakal Đại đế
Rise of Kingdoms,Mô tả nào sau đây là chính xác về khí hậu Địa Trung Hải?,"Mùa hè nóng, khô và mùa đông mát, ẩm ướt."
Rise of Kingdoms,Kỹ năng nào sau đây KHÔNG phải là một trong những kỹ năng của Belisarius?,Lực lượng nguy hiểm
Rise of Kingdoms,Mô tả danh hiệu vương quốc nào sau đây là KHÔNG ĐÚNG?,Thủ tướng đã tăng cường tấn công quân.
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy đóng vai trò là ""thợ khoan"" nhận được ưu đãi gì?",+ 1% Tấn công quân
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy hoạt động với tư cách là ""Kiểm lâm viên"" nhận được ưu đãi gì?",+ 5% XP nhận và sát thương so với Barbarians
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy đóng vai trò là ""Nhân viên thuế"" sẽ nhận được ưu đãi gì?",+ 5% tốc độ thu thập
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy hoạt động như một ""Người bảo vệ sắt"" sẽ nhận được ưu đãi gì?",+ 1% Máu quân
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy đóng vai trò là ""Đội trưởng cung cấp"" sẽ nhận được ưu đãi gì?",+ 5% Tốc độ thu thập và tải quân
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy đóng vai trò là ""Đội trưởng phụ trách"" sẽ nhận được những ưu đãi gì?",+ 1% Tốc độ tấn công tập hợp & tập hợp quân số tháng 3
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy đóng vai trò là ""Vua đầu"" nhận được những ưu đãi gì?",+ 1% Lực lượng Phòng thủ và Máu
Rise of Kingdoms,"Trong số các chỉ huy dưới đây, chỉ huy nào phù hợp nhất để dẫn quân chống lại kẻ thù bộ binh?",Hermann
Rise of Kingdoms,Điều nào sau đây được đồng hương ca ngợi là đại diện dân chủ trung thực và tốt nhất của Hy Lạp cổ đại?,Pericles
Rise of Kingdoms,"Trong số các chỉ huy dưới đây, chỉ huy nào phù hợp nhất để dẫn quân CHỐNG lại kẻ thù bắn cung?",Cao Cao
Rise of Kingdoms,"Trong số các chỉ huy dưới đây, tướng nào thích hợp nhất để dẫn quân CHỐNG lại kẻ thù kỵ binh?",Binh pháp Tôn Tử
Rise of Kingdoms,Mô tả danh hiệu vương quốc nào sau đây không chính xác?,Quân đội của Dukes đã tăng cường tấn công
Rise of Kingdoms,"Trong số các chỉ huy dưới đây, chỉ huy nào là phù hợp nhất để dẫn quân khi thu thập tài nguyên?",Seondeok
Rise of Kingdoms,"Vào thời nhà Hán của Trung Quốc, ai đã mở con đường tơ lụa theo lệnh của Hoàng đế Ngô?",Zhang Qian
Rise of Kingdoms,Tại sao bệnh còi từng là một vấn đề phổ biến đối với các thủy thủ?,Thiếu trái cây tươi và rau quả trong những chuyến đi dài
Rise of Kingdoms,Tại sao uống cà phê lại khiến người ta cảm thấy tỉnh táo hơn?,Nó chứa caffeine
Rise of Kingdoms,Bệnh nào sau đây có thể do thiếu vitamin D?,Bệnh còi xương
Rise of Kingdoms,Nhân viên thuế quan,Tốc độ thu gom +5%
Rise of Kingdoms,Thánh đường dũng cảm,Nhận kinh nghiệm chỉ huy 10%
Rise of Kingdoms,Tại sao scurvy là ván đề của thủy thủ,Thiếu trái cây tươi và rau quả trong những chuyến đi dài
Rise of Kingdoms,Brazil tổ chức olympic ở?,Rio dranero
Rise of Kingdoms,Không phải là kỹ năng của Matilda Flanders,Dòng máu
Rise of Kingdoms,"Tên nào sau đây là tên gọi khác của ""Cái chết đen"" hoành hành khắp châu Âu trong thời kỳ Hậu Trung Cổ?",Yersinia pestis
Rise of Kingdoms,"Trong thần thoại Hy Lạp, tên của con chó 3 đầu của Hades canh giữ cánh cổng của Thế giới ngầm là gì",Cerberus
Rise of Kingdoms,Người đẹp được cho là nguyên nhân của cuộc chiến thành Troy là ai?,Helen
Rise of Kingdoms,Những nhà Nhân văn phương Bắc như Erasmus thường được biết đến nhiều nhất vì điều gì?,Mối quan tâm đến tôn giáo và hình thái xã hội
Rise of Kingdoms,Ai đầu tiên thực hiện Lịch Julian ở Rome?,Julius Caesar
Rise of Kingdoms,Chỉ huy nào đã chỉ huy đánh chiếm Constantinople năm 21 tuổi?,Mehmed II
Rise of Kingdoms,"Ai được gọi là ""Napoléon của tội ác"" trong một số câu chuyện về Sherlock Holmes?",Giáo sư Moriarty
Rise of Kingdoms,Tòa nhà nào ban đầu được xây dựng ở Luân Đôn để tổ chức Triển lãm lớn về ngành công trình của tất cả các quốc gia được tổ chức vào năm 1851?,Cung điện pha lê
Rise of Kingdoms,Ăn không đủ nguyên tố nào có thể dẫn đến bệnh to tuyến giáp?,Iốt
Rise of Kingdoms,Quốc gia nào ở châu Á trùng với đế chế Parthia trước đây?,Iran
Rise of Kingdoms,Vật nào sau đây là Hiệp sĩ của Bàn tròn?,Lancelot
Rise of Kingdoms,Nguồn nào sau đây là nguồn năng lượng thay thế dựa trên sự phân tách các nguyên tử nặng thành các nguyên tử nhẹ hơn để giải phóng năng lượng?,Năng lượng hạt nhân
Rise of Kingdoms,Cuộc chiến nào đã kết thúc sự cai trị của House of Plantagenet và bắt đầu sự cai trị của những người Tudors ở Anh?,Cuộc chiến của hoa hồng
Rise of Kingdoms,Chỉ huy nào được biết đến là lãnh chúa của Kamakura?,Minamoto no Yoshitsune
Rise of Kingdoms,"Sự khác biệt giữa các loài, chẳng hạn như các mỏ chim khác nhau, được gọi là",Các biến thể
Rise of Kingdoms,Phần thưởng sức khỏe quân đội bạn có thể nhận được từ một Bệnh viện được nâng cấp hoàn chỉnh là gì?,0.01
Rise of Kingdoms,Tại sao ếch và các sinh vật khác đẻ nhiều trứng / con?,Càng nhiều con đẻ ra càng có nhiều khả năng sống sót
Rise of Kingdoms,Tên của điện năng được sản xuất bằng năng lượng nước sử dụng các đập lớn trên sông là gì?,Thủy điện
Rise of Kingdoms,Ông già Noel đi trên một chiếc xe trượt tuyết do con vật nào kéo?,Tuần lộc
Rise of Kingdoms,Chỉ huy nào được đặt biệt danh là Người man rợ gầm rú?,Lohar
Rise of Kingdoms,"Trong thần thoại Hy Lạp, hoàng tử xứ troy của Paris đã tặng quả táo vàng có khắc hình nữ thần xinh đẹp nhất cho ai?",Aphrodite
Rise of Kingdoms,Loại nào sau đây là nguồn năng lượng vô tận phụ thuộc vào magma nóng hoặc đá khô nóng bên dưới mặt đất?,Địa lý
Rise of Kingdoms,Nền kinh tế của Ai Cập chủ yếu dựa trên cái gì?,Nông nghiệp
Rise of Kingdoms,Nhà thám hiểm người Bồ Đào Nha nào là người châu Âu đầu tiên đi thuyền đến mũi phía nam của châu Phi?,Bartolomeu Dias
Rise of Kingdoms,"""Cuối cùng biện minh cho phương tiện"" là một niềm tin quan trọng của tác giả của ""The Prince"". Tên của anh ấy là gì?",Machiavelli
Rise of Kingdoms,“Nút thắt Windsor” được vua nào của nước Anh sử dụng phổ biến?,Edward VIII
Rise of Kingdoms,"Trong trường hợp bình thường, bằng mắt thường ta có thể nhìn thấy mặt trời ở tầng nào?",Photosphere
Rise of Kingdoms,Chỉ huy nào được biết đến với cái tên Barbarossa?,Frederick I
Rise of Kingdoms,Người sáng lập Kentucky Fried Chicken (KFC) đã được trao thứ hạng danh dự nào?,Đại tá
Rise of Kingdoms,Thành phố-nhà nước nào của Hy Lạp cổ đại được biết đến với sự dũng cảm và huấn luyện quân sự tàn bạo của nó?,Sparta
Rise of Kingdoms,Vị chỉ huy nào được coi là kẻ thù của La Mã ngay từ khi còn nhỏ?,Hannibal Barca
Rise of Kingdoms,Những nhà nhân văn phương Bắc như Erasmus được biết đến nhiều nhất để làm gì?,Các tôn giáo
Rise of Kingdoms,Tên nào sau đây là tên của đá trầm tích được hình thành từ xác thực vật mục nát ở các vùng đầm lầy?,Than đá
Rise of Kingdoms,Tên của năng lượng tái tạo có nguồn gốc từ việc đốt cháy các vật liệu hữu cơ như gỗ và rượu là gì?,Năng lượng sinh khối
Rise of Kingdoms,Hoàng đế của Đế chế Pháp đầu tiên là ai?,Napoléon Bonaparte
Rise of Kingdoms,Chính khách lỗi lạc nào từng là vị tướng đầu tiên của Mạc phủ Edo vào cuối thời Chiến quốc của Nhật Bản?,Tokugawa Ieyasu
Rise of Kingdoms,Đâu là điểm tập hợp cho cuộc Thập tự chinh đầu tiên?,Constantinople
Rise of Kingdoms,Từ nào sau đây là thuật ngữ chỉ vật liệu có giá trị có nguồn gốc địa chất có thể được khai thác từ trái đất,Tài nguyên thiên nhiên
Rise of Kingdoms,Kỹ năng nào sau đây không phải là kỹ năng bị động của Pelagius?,Sạc điện
Rise of Kingdoms,Chỉ huy nào sau đây xuất sắc dẫn đầu bộ binh?,Richard tôi
Rise of Kingdoms,Tên của hiện tượng mà các sinh vật thích nghi tốt hơn với môi trường sống sót để truyền các tính trạng cho đời con là gì?,Chọn lọc tự nhiên
Rise of Kingdoms,Người chỉ huy nào được đặt biệt danh là đồng cỏ của cái chết?,Sarka
Rise of Kingdoms,"Kính đeo mắt được cấu tạo từ thạch anh, cát, và chất gì?",Dầu mỏ
Rise of Kingdoms,Người chỉ huy nào được gọi là Người chinh phục hỗn loạn?,Cao Cao
Rise of Kingdoms,Bộ luật nào trong số các Bộ luật Babylon là bộ luật thành văn đầy đủ đầu tiên trong lịch sử được ghi chép lại?,Bộ luật Hammurabi
Rise of Kingdoms,Truyện tranh nào được sách kỷ lục Guinness thế giới công nhận là truyện tranh có số lượng phát hành tích lũy lớn nhất trong số các truyện tranh của một tác giả?,Eiichiro Oda / One Piece
Rise of Kingdoms,"Ở Hy Lạp cổ đại, triết gia nào thích thảo luận về các ý tưởng trên một con phố mà sau đó có biệt danh là Trường học Peripatetic?",Aristotle
Rise of Kingdoms,Thí nghiệm Tháp nghiêng Pisa của Galileo đã lật ngược giả thuyết nào của các nhà khoa học Hy Lạp cổ đại?,Aristotle
Rise of Kingdoms,Vị chỉ huy nào đã thể hiện thiên tài quân sự của họ trong trận chiến Poitiers vào thế kỷ thứ 8 sau Công nguyên?,Charles Martel
Rise of Kingdoms,Vị chỉ huy nào đã thể hiện thiên tài quân sự của họ trong trận Tours vào thế kỷ 8 sau Công nguyên?,Charles Martel
Rise of Kingdoms,Tên của điện được sản xuất bằng nước sử dụng đập lớn trên sông là gì?,Năng lượng thủy điện
Rise of Kingdoms,Biện pháp chính thức nào khiến việc cho Martin Luther thức ăn hoặc chỗ ở trở thành một tội ác?,Sắc lệnh của Worms
Rise of Kingdoms,Thành phố nào trong số những thành phố này đã đăng cai Thế vận hội vào năm 1900?,Paris
Rise of Kingdoms,Chỉ huy Baybars giỏi cái gì?,Các đơn vị kỵ binh hàng đầu
Rise of Kingdoms,Một phần đế chế cũ bây giờ trên đất nước Châu Á,Iran
Rise of Kingdoms,"Trong Chiến tranh Punic lần thứ hai, trong trận chiến nào, một đội quân Hannibal đông hơn rất nhiều đã đánh bại một đội quân La Mã?",Trận chiến của Cannae
Rise of Kingdoms,"Khi đánh bắt và thả cá biển sâu, tại sao việc chọc thủng bàng bơi của chúng lại quan trọng?",Để ngăn chúng chết vì những chiếc phao bơi căng phồng
Rise of Kingdoms,Yếu tố nào sau đây cho phép một số loại đồ uống hỗn hợp được xếp thành lớp?,Tỉ trọng
Rise of Kingdoms,Ai là người đưa ra ý tưởng Trojan Horse? Ai đã thắng trong cuộc chiến thành Troy?,Odysseus; Người Hy Lạp
Rise of Kingdoms,Ai là người đầu tiên trong số những người con của Henry VIII cai trị nước Anh?,Edward VI
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy hoạt động với tư cách là ""thợ khoan"" nhận được ưu đãi gì?",+ 1% Tấn công quân
Rise of Kingdoms,"Trong trang Commander View, các chỉ huy đóng vai trò là ""Iron Guard"" sẽ nhận được những ưu đãi gì?",+ 1% Máu quân
Rise of Kingdoms,"Trong trang Chế độ xem chỉ huy, các chỉ huy hoạt động với tư cách là ""Vua đầu"" nhận được ưu đãi gì?",+ 1% Phòng thủ và Máu của Quân đội
Rise of Kingdoms,"Trong số các chỉ huy dưới đây, chỉ huy nào phù hợp nhất để dẫn quân CHỐNG lại kẻ thù kỵ binh?",Binh pháp Tôn Tử
Rise of Kingdoms,"Vào thời nhà Hán của Trung Quốc, ai là người mở con đường tơ lụa theo lệnh của Hoàng đế Ngô?",Zhang Qian
Rise of Kingdoms,Tại sao uống cà phê khiến người ta cảm thấy tỉnh táo hơn?,Nó chứa caffeine
Rise of Kingdoms,Tư lệnh nào sau đây xuất sắc dẫn đầu kỵ binh?,Minamoto no Yoshitsune
Rise of Kingdoms,Cái nào KHÔNG phải là Kỹ năng Vua?,Cứu trợ
Rise of Kingdoms,Nhà sinh vật học Karl Landsteiner đã đoạt giải Nobel có đóng góp xuất sắc nào cho khoa học?,Khám phá các nhóm máu của con người
Rise of Kingdoms,Mối quan hệ giữa các vị tướng lừng danh Tolui và Thành Cát Tư Hãn là gì?,Cha và con trai
Rise of Kingdoms,Alexander Fleming khám phá ra penicillin vào năm nào?,1928.0
Rise of Kingdoms,Kỹ năng nào sau đây KHÔNG phải là một trong những kỹ năng của Matilda of Flanders?,Máu Celtic
Rise of Kingdoms,Kỹ năng nào sau đây KHÔNG phải là một trong những kỹ năng của Hoa Mộc Lan?,Quân đội bất khuất
Rise of Kingdoms,Nước nào đầu tiên phát minh ra nước hoa?,Síp
Rise of Kingdoms,Nguyên nhân chính của sự hình thành dãy Himalaya là gì?,Va chạm giữa các tấm
Rise of Kingdoms,"Trong thời Chiến Quốc của Trung Quốc, nhà nước nào đã đánh bại 6 nước kia và xây dựng nên đế chế Trung Hoa thống nhất?",Tần
Rise of Kingdoms,Nguyên nhân chính của địa hình karst là gì?,Sự hòa tan của các loại đá hòa tan
Rise of Kingdoms,"Bastille, một nhà tù từng nằm ở trung tâm Paris, Pháp, ban đầu phục vụ cho mục đích gì?",Pháo đài phòng thủ
Rise of Kingdoms,Bác sĩ nào sau đây là người đầu tiên mô tả đầy đủ và chi tiết về tuần hoàn toàn thân và chức năng của tim?,William Harvey
Rise of Kingdoms,"Marco Polo, một nhà thám hiểm và thương gia nổi tiếng, sinh ra ở nước nào?",Cộng hòa Venice
Rise of Kingdoms,Nguyên nhân địa hình karst,Hòa tan các loại đá hòa tan
Rise of Kingdoms,Con nào trong số những con vật này KHÔNG đẻ trứng?,Con dơi
Rise of Kingdoms,"Ngoài ""Lần bạn có thể được giúp đỡ"" và ""Sức mạnh"", thông số nào sau đây của Trung tâm Liên minh cũng có thể được nâng cấp?",Năng lực quân đội tăng cường
Rise of Kingdoms,"Kỹ năng liên minh ""quà tặng của thiên nhiên"" để làm gì?",Triệu hồi điểm tài nguyên trong một khu vực đã chọn (không thể sử dụng trong vương quốc đã mất)
Rise of Kingdoms,Nguyên nhân sâu xa của chứng say độ cao là gì?,Tiếp xúc nhanh chóng với lượng oxy thấp ở độ cao lớn
Rise of Kingdoms,Công trình nào sau đây không thể nâng cấp?,Trạm chuyển phát nhanh
Rise of Kingdoms,"Kỹ năng liên minh ""nạp đầy đủ"" để làm gì?",Tăng tốc độ thu thập của các thành viên liên minh cho một loại tài nguyên.
Rise of Kingdoms,Câu nào sau đây mô tả đúng nhất về Cá hề?,Cá biển nhiệt đới
Rise of Kingdoms,Công nghệ nào xuất hiện ngay trước Heavy Cavalry?,Áo giáp quy mô
Rise of Kingdoms,"Ở Ai Cập cổ đại, điều nào sau đây KHÔNG phải là đặc quyền được trở thành 'Người ghi chép'?",Miễn chi phí khám chữa bệnh nếu ốm đau
Rise of Kingdoms,Điều nào sau đây không phải là lợi ích khi trở thành Người ghi chép về Ai Cập cổ đại?,Ngoại trừ từ bệnh hiểm nghèo được trả lương y tế
Rise of Kingdoms,Làm thế nào mà Kinh thánh Gutenberg được đưa vào sản xuất hàng loạt?,Máy in loại di động
Rise of Kingdoms,Bộ luật Napoléon được thành lập vào năm nào?,1804.0
Rise of Kingdoms,"Nhà khoa học Hà Lan nào được biết đến là ""cha đẻ của vi sinh vật học""?",Antonie van Leeuwenhoek
Rise of Kingdoms,Nhà chiến lược quân sự và nhà cách mạng nổi tiếng Simón Bolívar sinh ra ở nước nào?,Venezuela
Rise of Kingdoms,"Kể từ khi thành lập năm 1863, Ủy ban Chữ thập đỏ Quốc tế đã đoạt giải Nobel Hòa bình bao nhiêu lần?",3.0
Rise of Kingdoms,Tiểu thuyết Tam Quốc Diễn Nghĩa bắt đầu gần cuối của thuốc nhuộm nào của Trung Quốc?,Han
Rise of Kingdoms,Bản giao hưởng số 5 ở C Minor của Beethoven được ra mắt tại nhà hát nào vào năm 1808?,Nhà hát và der Wien
Rise of Kingdoms,"Trong mã Morse, độ dài tính bằng dấu chấm giữa hai từ là bao nhiêu?",7.0
Rise of Kingdoms,"Sau khi Venus Flytrap bắt được côn trùng, nó tiêu hóa và hấp thụ con mồi như thế nào?",Các vạt bên trong của lá tiết ra dịch tiêu hoá.
Rise of Kingdoms,"Trong số những điều sau đây, điều nào có nhiều khả năng đã trực tiếp dẫn đến thời kỳ đồ đồng?",Đồng cứng hơn và bền hơn các kim loại khác có sẵn vào thời điểm đó.
Rise of Kingdoms,Điểm nào sau đây thưởng cho điểm hoạt động hàng ngày?,Đánh bại quân man rợ trên bản đồ
Rise of Kingdoms,Thành phố nào sau đây là thành phố đầu tiên có hệ thống giao thông nhanh dưới lòng đất?,London
Rise of Kingdoms,Vua đầu tiên của Ý sau khi thống nhất vào năm 1861 là ai?,Victor Emmanuel II
Rise of Kingdoms,Giải vô địch quần vợt Wimbledon đầu tiên được tổ chức vào năm nào?,1877.0
Rise of Kingdoms,Vườn quốc gia nào sau đây là vườn quốc gia đầu tiên trên thế giới?,Công viên quốc gia Yellowstone
Rise of Kingdoms,"Tập đoàn Carlsberg, một nhà sản xuất bia hàng đầu, được thành lập vào năm 1847 ở nước nào?",Đan mạch
Rise of Kingdoms,Kích thước của sương mù được xóa bởi một vật phẩm trên Bản đồ Vương quốc là gì?,10x10
Rise of Kingdoms,Điều gì đã gây ra cái chết của Pericles?,Một bệnh dịch.
Rise of Kingdoms,Cơn lốc xoáy hình nón gió nổi tiếng về điều gì?,Quay
Rise of Kingdoms,Mục Tuyển Dụng Người Xây Dựng tồn tại trong bao lâu?,2 ngày
Rise of Kingdoms,Bạn mở khóa vĩnh viễn hàng đợi tòa nhà thứ hai ở cấp độ VIP nào?,Cấp độ 6
Rise of Kingdoms,Bạn có thể nhận trợ giúp liên minh bao nhiêu lần nếu trung tâm liên minh của bạn là cấp 25?,30.0
Rise of Kingdoms,Đấu trường La Mã được hoàn thành dưới triều đại của vị hoàng đế nào?,Tít
Rise of Kingdoms,Anh cả của thần Zeus,Poseidon
